,model,lr,n_epochs,hidden_size,weight_decay,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,criterion,n_estimators,max_features,C,penalty,solver,max_iter,class_weight
170,MLP,0.001,500.0,128.0,0.001,MLP,0.3520408163265306,0.23296768850951413,,,,,,,,,,,
171,MLP,0.001,500.0,256.0,0.1,MLP,0.35714285714285715,0.25966255966255963,,,,,,,,,,,
172,MLP,0.001,500.0,256.0,0.01,MLP,0.3673469387755102,0.28579908188320696,,,,,,,,,,,
173,MLP,0.001,500.0,256.0,0.001,MLP,0.3877551020408163,0.24713416095897092,,,,,,,,,,,
174,MLP,0.001,500.0,512.0,0.1,MLP,0.3979591836734694,0.24711246200607903,,,,,,,,,,,
175,MLP,0.001,500.0,512.0,0.01,MLP,0.3469387755102041,0.22648620844098666,,,,,,,,,,,
176,MLP,0.001,500.0,512.0,0.001,MLP,0.3163265306122449,0.2455989284347493,,,,,,,,,,,
177,MLP,0.001,500.0,1024.0,0.1,MLP,0.3469387755102041,0.2617724867724867,,,,,,,,,,,
178,MLP,0.001,500.0,1024.0,0.01,MLP,0.32142857142857145,0.25755544146852094,,,,,,,,,,,
179,MLP,0.001,500.0,1024.0,0.001,MLP,0.3979591836734694,0.3015518050122277,,,,,,,,,,,
180,MLP,0.0001,50.0,64.0,0.1,MLP,0.32653061224489793,0.11963168721400484,,,,,,,,,,,
181,MLP,0.0001,50.0,64.0,0.01,MLP,0.336734693877551,0.12745086031448583,,,,,,,,,,,
182,MLP,0.0001,50.0,64.0,0.001,MLP,0.29591836734693877,0.10706221181701199,,,,,,,,,,,
183,MLP,0.0001,50.0,128.0,0.1,MLP,0.37244897959183676,0.14985380116959066,,,,,,,,,,,
184,MLP,0.0001,50.0,128.0,0.01,MLP,0.37755102040816324,0.17966013071895426,,,,,,,,,,,
185,MLP,0.0001,50.0,128.0,0.001,MLP,0.33163265306122447,0.1315451910002822,,,,,,,,,,,
186,MLP,0.0001,50.0,256.0,0.1,MLP,0.42857142857142855,0.16750556724932128,,,,,,,,,,,
187,MLP,0.0001,50.0,256.0,0.01,MLP,0.3826530612244898,0.14962292609351432,,,,,,,,,,,
188,MLP,0.0001,50.0,256.0,0.001,MLP,0.3877551020408163,0.14939182194616976,,,,,,,,,,,
189,MLP,0.0001,50.0,512.0,0.1,MLP,0.37244897959183676,0.14944107744107746,,,,,,,,,,,
190,MLP,0.0001,50.0,512.0,0.01,MLP,0.39285714285714285,0.16624579124579122,,,,,,,,,,,
191,MLP,0.0001,50.0,512.0,0.001,MLP,0.33163265306122447,0.13797534104267475,,,,,,,,,,,
192,MLP,0.0001,50.0,1024.0,0.1,MLP,0.413265306122449,0.1912242913858133,,,,,,,,,,,
193,MLP,0.0001,50.0,1024.0,0.01,MLP,0.39285714285714285,0.17120048222174847,,,,,,,,,,,
194,MLP,0.0001,50.0,1024.0,0.001,MLP,0.42346938775510207,0.20256835128417564,,,,,,,,,,,
195,MLP,0.0001,100.0,64.0,0.1,MLP,0.30612244897959184,0.13165700124801555,,,,,,,,,,,
196,MLP,0.0001,100.0,64.0,0.01,MLP,0.3469387755102041,0.13131774980734653,,,,,,,,,,,
197,MLP,0.0001,100.0,64.0,0.001,MLP,0.32142857142857145,0.11073056142823585,,,,,,,,,,,
198,MLP,0.0001,100.0,128.0,0.1,MLP,0.4030612244897959,0.17301494972186562,,,,,,,,,,,
199,MLP,0.0001,100.0,128.0,0.01,MLP,0.413265306122449,0.20131722071676653,,,,,,,,,,,
200,MLP,0.0001,100.0,128.0,0.001,MLP,0.3469387755102041,0.14043722570854353,,,,,,,,,,,
201,MLP,0.0001,100.0,256.0,0.1,MLP,0.3877551020408163,0.17677086992155486,,,,,,,,,,,
202,MLP,0.0001,100.0,256.0,0.01,MLP,0.4336734693877551,0.20736816712500605,,,,,,,,,,,
203,MLP,0.0001,100.0,256.0,0.001,MLP,0.34183673469387754,0.14928504783105487,,,,,,,,,,,
204,MLP,0.0001,100.0,512.0,0.1,MLP,0.4030612244897959,0.2405692553060974,,,,,,,,,,,
205,MLP,0.0001,100.0,512.0,0.01,MLP,0.3826530612244898,0.1936152238673247,,,,,,,,,,,
206,MLP,0.0001,100.0,512.0,0.001,MLP,0.35714285714285715,0.18028528528528528,,,,,,,,,,,
207,MLP,0.0001,100.0,1024.0,0.1,MLP,0.3826530612244898,0.20279430506995988,,,,,,,,,,,
208,MLP,0.0001,100.0,1024.0,0.01,MLP,0.40816326530612246,0.2386523477628688,,,,,,,,,,,
209,MLP,0.0001,100.0,1024.0,0.001,MLP,0.42857142857142855,0.19676989676989676,,,,,,,,,,,
210,MLP,0.0001,200.0,64.0,0.1,MLP,0.4744897959183674,0.2013977893895078,,,,,,,,,,,
211,MLP,0.0001,200.0,64.0,0.01,MLP,0.45408163265306123,0.21139724194022838,,,,,,,,,,,
212,MLP,0.0001,200.0,64.0,0.001,MLP,0.40816326530612246,0.16599363205715614,,,,,,,,,,,
213,MLP,0.0001,200.0,128.0,0.1,MLP,0.4030612244897959,0.19315830120914868,,,,,,,,,,,
214,MLP,0.0001,200.0,128.0,0.01,MLP,0.3622448979591837,0.1730924753867792,,,,,,,,,,,
215,MLP,0.0001,200.0,128.0,0.001,MLP,0.3673469387755102,0.16738112198904362,,,,,,,,,,,
216,MLP,0.0001,200.0,256.0,0.1,MLP,0.4336734693877551,0.21711056459108735,,,,,,,,,,,
